snapshot	elapsed_hours	local-vps	hermes-container	deimos-openclaw-container	phobos-pi-hermes
20260606T183037Z	68.567	78	78	78	nan
20260606T190123Z	69.080	78	78	78	78
20260606T193159Z	69.590	78	78	78	nan
20260606T200251Z	70.104	78	78	78	78
20260606T203341Z	70.618	78	78	78	nan
20260606T210434Z	71.133	78	78	78	78
20260606T213512Z	71.643	78	78	78	nan
20260606T220559Z	72.156	78	78	78	78
20260606T223646Z	72.669	78	78	78	nan
20260606T230731Z	73.182	78	78	78	78
20260606T233813Z	73.694	78	78	78	nan
20260607T000902Z	74.207	78	78	78	nan
20260607T003948Z	74.720	78	78	78	78
20260607T011027Z	75.231	78	78	78	nan
20260607T014115Z	75.744	78	78	78	78
20260607T021207Z	76.259	78	78	78	nan
20260607T024308Z	76.776	78	78	78	78
20260607T031353Z	77.288	78	78	78	nan
20260607T034447Z	77.803	78	78	78	78
20260607T041528Z	78.314	78	78	78	nan
20260607T044616Z	78.828	78	78	78	78
20260607T051703Z	79.341	78	78	78	nan
20260607T054751Z	79.854	78	78	78	78
20260607T061836Z	80.367	78	78	78	nan
20260607T064921Z	80.879	78	78	78	78
20260607T072005Z	81.391	78	78	78	nan
20260607T075056Z	81.906	78	78	78	78
20260607T082141Z	82.418	78	78	78	nan
20260607T085228Z	82.931	78	78	78	78
20260607T092310Z	83.443	78	78	78	nan
20260607T095358Z	83.956	78	78	78	78
20260607T102449Z	84.470	78	78	78	nan
20260607T105538Z	84.984	78	78	78	78
20260607T112619Z	85.495	78	78	78	nan
20260607T115710Z	86.009	78	78	78	78
20260607T122749Z	86.520	78	78	78	nan
20260607T125842Z	87.035	78	78	78	78
20260607T132932Z	87.549	78	78	78	nan
20260607T140023Z	88.063	78	78	78	78
20260607T143102Z	88.574	78	78	78	nan
20260607T150150Z	89.087	78	78	78	78
20260607T153231Z	89.599	78	78	78	nan
20260607T160319Z	90.112	78	78	78	78
20260607T163357Z	90.623	78	78	78	nan
