snapshot	elapsed_hours	participant	doctor_status	peers_status	controlled_members	controlled_messages	healthy	full_controlled_state
20260604T051208Z	7.259	deimos-openclaw-container	0	0	4	66	True	False
20260604T051208Z	7.259	phobos-pi-hermes	0	0	4	66	True	False
20260604T051711Z	7.343	local-vps	0	0	4	66	True	False
20260604T051711Z	7.343	hermes-container	0	0	4	66	True	False
20260604T051711Z	7.343	deimos-openclaw-container	0	0	4	66	True	False
20260604T051711Z	7.343	phobos-pi-hermes	0	0	4	66	True	False
20260604T051745Z	7.353	local-vps	0	0	4	66	True	False
20260604T051745Z	7.353	hermes-container	0	0	4	66	True	False
20260604T051745Z	7.353	deimos-openclaw-container	0	0	4	66	True	False
20260604T051745Z	7.353	phobos-pi-hermes	0	0	4	66	True	False
20260604T054824Z	7.863	local-vps	0	0	4	66	True	False
20260604T054824Z	7.863	hermes-container	0	0	4	66	True	False
20260604T054824Z	7.863	deimos-openclaw-container	0	0	4	66	True	False
20260604T054824Z	7.863	phobos-pi-hermes	0	0	4	66	True	False
20260604T061858Z	8.373	local-vps	0	0	4	66	True	False
20260604T061858Z	8.373	hermes-container	0	0	4	66	True	False
20260604T061858Z	8.373	deimos-openclaw-container	0	0	4	66	True	False
20260604T061858Z	8.373	phobos-pi-hermes	0	0	4	66	True	False
20260604T064933Z	8.883	local-vps	0	0	4	66	True	False
20260604T064933Z	8.883	hermes-container	0	0	4	66	True	False
20260604T064933Z	8.883	deimos-openclaw-container	0	0	4	66	True	False
20260604T064933Z	8.883	phobos-pi-hermes	0	0	4	66	True	False
20260604T072005Z	9.391	local-vps	0	0	4	66	True	False
20260604T072005Z	9.391	hermes-container	0	0	4	66	True	False
20260604T072005Z	9.391	deimos-openclaw-container	0	0	4	66	True	False
20260604T072005Z	9.391	phobos-pi-hermes	0	0	4	66	True	False
20260604T075044Z	9.902	local-vps	0	0	4	66	True	False
20260604T075044Z	9.902	hermes-container	0	0	4	66	True	False
20260604T075044Z	9.902	deimos-openclaw-container	0	0	4	66	True	False
20260604T075044Z	9.902	phobos-pi-hermes	0	0	4	66	True	False
20260604T082124Z	10.413	local-vps	0	0	4	66	True	False
20260604T082124Z	10.413	hermes-container	0	0	4	66	True	False
20260604T082124Z	10.413	deimos-openclaw-container	0	0	4	66	True	False
20260604T082124Z	10.413	phobos-pi-hermes	0	0	4	66	True	False
20260604T085206Z	10.925	local-vps	0	0	4	66	True	False
20260604T085206Z	10.925	hermes-container	0	0	4	66	True	False
20260604T085206Z	10.925	deimos-openclaw-container	0	0	4	66	True	False
20260604T085206Z	10.925	phobos-pi-hermes	0	0	4	66	True	False
20260604T092244Z	11.436	local-vps	0	0	4	66	True	False
20260604T092244Z	11.436	hermes-container	0	0	4	66	True	False
20260604T092244Z	11.436	deimos-openclaw-container	0	0	4	66	True	False
20260604T092244Z	11.436	phobos-pi-hermes	0	0	4	66	True	False
20260604T095318Z	11.945	local-vps	0	0	4	72	True	False
20260604T095318Z	11.945	hermes-container	0	0	4	72	True	False
20260604T095318Z	11.945	deimos-openclaw-container	0	0	4	72	True	False
20260604T095318Z	11.945	phobos-pi-hermes	0	0	4	72	True	False
20260604T102352Z	12.454	local-vps	0	0	4	78	True	True
20260604T102352Z	12.454	hermes-container	0	0	4	78	True	True
20260604T102352Z	12.454	deimos-openclaw-container	0	0	4	78	True	True
20260604T102352Z	12.454	phobos-pi-hermes	0	0	4	78	True	True
20260604T105431Z	12.965	local-vps	0	0	4	78	True	True
20260604T105431Z	12.965	hermes-container	0	0	4	78	True	True
20260604T105431Z	12.965	deimos-openclaw-container	0	0	4	78	True	True
20260604T105431Z	12.965	phobos-pi-hermes	0	0	4	78	True	True
20260604T112509Z	13.476	local-vps	0	0	4	78	True	True
20260604T112509Z	13.476	hermes-container	0	0	4	78	True	True
20260604T112509Z	13.476	deimos-openclaw-container	0	0	4	78	True	True
20260604T112509Z	13.476	phobos-pi-hermes	0	0	4	78	True	True
20260604T115540Z	13.984	local-vps	0	0	4	78	True	True
20260604T115540Z	13.984	hermes-container	0	0	4	78	True	True
20260604T115540Z	13.984	deimos-openclaw-container	0	0	4	78	True	True
20260604T115540Z	13.984	phobos-pi-hermes	255	255	None	None	False	False
20260604T122623Z	14.496	local-vps	0	0	4	78	True	True
20260604T122623Z	14.496	hermes-container	0	0	4	78	True	True
20260604T122623Z	14.496	deimos-openclaw-container	0	0	4	78	True	True
20260604T122623Z	14.496	phobos-pi-hermes	255	255	None	None	False	False
20260604T125705Z	15.008	local-vps	0	0	4	78	True	True
20260604T125705Z	15.008	hermes-container	0	0	4	78	True	True
20260604T125705Z	15.008	deimos-openclaw-container	0	0	4	78	True	True
20260604T125705Z	15.008	phobos-pi-hermes	255	255	None	None	False	False
20260604T132755Z	15.522	local-vps	0	0	4	78	True	True
20260604T132755Z	15.522	hermes-container	0	0	4	78	True	True
20260604T132755Z	15.522	deimos-openclaw-container	0	0	4	78	True	True
20260604T132755Z	15.522	phobos-pi-hermes	255	255	None	None	False	False
20260604T135840Z	16.034	local-vps	0	0	4	78	True	True
20260604T135840Z	16.034	hermes-container	0	0	4	78	True	True
20260604T135840Z	16.034	deimos-openclaw-container	0	0	4	78	True	True
20260604T135840Z	16.034	phobos-pi-hermes	255	255	None	None	False	False
20260604T142925Z	16.547	local-vps	0	0	4	78	True	True
20260604T142925Z	16.547	hermes-container	0	0	4	78	True	True
20260604T142925Z	16.547	deimos-openclaw-container	0	0	4	78	True	True
20260604T142925Z	16.547	phobos-pi-hermes	255	255	None	None	False	False
20260604T150015Z	17.061	local-vps	0	0	4	78	True	True
20260604T150015Z	17.061	hermes-container	0	0	4	78	True	True
20260604T150015Z	17.061	deimos-openclaw-container	0	0	4	78	True	True
20260604T150015Z	17.061	phobos-pi-hermes	255	255	None	None	False	False
20260604T153100Z	17.573	local-vps	0	0	4	78	True	True
20260604T153100Z	17.573	hermes-container	0	0	4	78	True	True
20260604T153100Z	17.573	deimos-openclaw-container	0	0	4	78	True	True
20260604T153100Z	17.573	phobos-pi-hermes	255	255	None	None	False	False
20260604T160146Z	18.086	local-vps	0	0	4	78	True	True
20260604T160146Z	18.086	hermes-container	0	0	4	78	True	True
20260604T160146Z	18.086	deimos-openclaw-container	0	0	4	78	True	True
20260604T160146Z	18.086	phobos-pi-hermes	255	255	None	None	False	False
20260604T163231Z	18.599	local-vps	0	0	4	78	True	True
20260604T163231Z	18.599	hermes-container	0	0	4	78	True	True
20260604T163231Z	18.599	deimos-openclaw-container	0	0	4	78	True	True
20260604T163231Z	18.599	phobos-pi-hermes	255	255	None	None	False	False
20260604T170317Z	19.111	local-vps	0	0	4	78	True	True
20260604T170317Z	19.111	hermes-container	0	0	4	78	True	True
20260604T170317Z	19.111	deimos-openclaw-container	0	0	4	78	True	True
20260604T170317Z	19.111	phobos-pi-hermes	255	255	None	None	False	False
20260604T173407Z	19.625	local-vps	0	0	4	78	True	True
20260604T173407Z	19.625	hermes-container	0	0	4	78	True	True
20260604T173407Z	19.625	deimos-openclaw-container	0	0	4	78	True	True
20260604T173407Z	19.625	phobos-pi-hermes	255	255	None	None	False	False
20260604T180449Z	20.137	local-vps	0	0	4	78	True	True
20260604T180449Z	20.137	hermes-container	0	0	4	78	True	True
20260604T180449Z	20.137	deimos-openclaw-container	0	0	4	78	True	True
20260604T180449Z	20.137	phobos-pi-hermes	255	255	None	None	False	False
20260604T183533Z	20.649	local-vps	0	0	4	78	True	True
20260604T183533Z	20.649	hermes-container	0	0	4	78	True	True
